"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2015","21.0100","20.6138","21.0600","20.6138","","0.27%"
"10/01/2015","20.9530","20.8180","21.1691","20.6138","","-0.63%"
"09/30/2015","21.0850","20.8140","21.0850","20.5196","","0.26%"
"09/29/2015","21.0300","20.8100","21.0300","20.7140","","-0.15%"
"09/28/2015","21.0611","20.8100","21.0611","20.7140","","0.55%"
"09/25/2015","20.9450","20.8060","21.0300","20.6217","","-0.40%"
"09/24/2015","21.0300","20.8060","21.0400","20.6751","","-0.12%"
"09/23/2015","21.0561","20.8020","21.0561","20.7000","","0.12%"
"09/22/2015","21.0311","20.7980","21.0400","20.7000","","0.32%"
"09/21/2015","20.9635","20.7940","21.0321","20.6980","","-0.20%"
"09/18/2015","21.0050","20.7900","21.0950","20.6200","","0.28%"
"09/17/2015","20.9456","20.7860","20.9617","20.6200","","-0.35%"
"09/16/2015","21.0200","20.7820","21.0300","20.6200","","0.33%"
"09/15/2015","20.9500","20.6616","21.0071","20.6200","","0.42%"
"09/14/2015","20.8616","20.7740","21.0250","20.6200","","-0.78%"
"09/11/2015","21.0250","20.7979","21.0250","20.6690","","-0.12%"
"09/10/2015","21.0500","20.8229","21.0750","20.6690","","0.19%"
"09/09/2015","21.0100","20.7620","21.0100","20.6655","","-0.07%"
"09/08/2015","21.0250","20.7580","21.0521","20.6615","","-0.12%"
"09/07/2015","21.0500","20.7540","21.0500","20.6575","","0.92%"
"09/04/2015","20.8575","20.7500","20.9540","20.6535","","0.02%"
"09/03/2015","20.8535","20.7460","20.9500","20.6535","","0.02%"
"09/02/2015","20.8495","20.7420","20.9460","20.6495","","0.02%"
"09/01/2015","20.8455","20.7380","20.9420","20.6415","","0.02%"
"08/31/2015","20.8415","20.7340","20.9380","20.6375","","0.02%"
"08/28/2015","20.8375","20.6314","20.9340","20.6314","","0.02%"
"08/27/2015","20.8335","20.7220","20.9321","20.6255","","-0.32%"
"08/26/2015","20.9000","20.7220","20.9220","20.6255","","0.00%"
"08/25/2015","20.9000","20.7180","20.9220","20.6215","","0.00%"
"08/24/2015","20.9000","20.7140","20.9180","20.6175","","0.40%"
"08/21/2015","20.8175","20.7100","20.9161","20.6135","","-0.39%"
"08/20/2015","20.9000","20.7060","20.9100","20.6095","","0.00%"
"08/19/2015","20.9000","20.7020","20.9060","20.6055","","0.00%"
"08/18/2015","20.9000","20.6980","20.9020","20.6015","","0.00%"
"08/17/2015","20.9000","20.6940","20.9000","20.5975","","-0.26%"
"08/14/2015","20.9550","20.6300","20.9550","20.5935","","0.26%"
"08/13/2015","20.9000","20.6860","20.9000","20.5895","","-0.01%"
"08/12/2015","20.9011","20.6820","20.9250","20.5855","","-0.14%"
"08/11/2015","20.9300","20.6780","20.9321","20.5815","","0.14%"
"08/10/2015","20.9000","20.6740","20.9000","20.5775","","-0.15%"
"08/07/2015","20.9311","20.6700","20.9311","20.5730","","0.15%"
"08/06/2015","20.9000","20.6660","20.9682","20.5690","","-0.19%"
"08/05/2015","20.9400","20.7000","21.0021","20.5650","","-0.12%"
"08/04/2015","20.9661","20.6580","20.9682","20.5610","","0.44%"
"08/03/2015","20.8750","20.6540","20.9500","20.5500","","-0.50%"
"07/31/2015","20.9800","20.6500","20.9800","20.6079","","0.31%"
"07/30/2015","20.9150","20.6460","20.9350","20.5100","","0.44%"
"07/29/2015","20.8230","20.6420","20.8460","20.4700","","0.02%"
"07/28/2015","20.8190","20.6380","20.8420","20.4500","","0.00%"
"07/27/2015","20.8200","20.6340","20.9700","20.4100","","0.19%"
"07/24/2015","20.7800","20.6200","20.8800","20.4100","","-0.10%"
"07/23/2015","20.8000","20.6239","20.8700","20.4100","","0.14%"
"07/22/2015","20.7700","20.6100","20.9050","20.4100","","0.00%"
"07/21/2015","20.7700","20.6180","20.8600","20.5210","","0.00%"
"07/20/2015","20.7700","20.6140","20.9700","20.5210","","-0.15%"
"07/17/2015","20.8017","20.6119","20.8498","20.4100","","0.09%"
"07/16/2015","20.7831","20.6100","20.8600","20.5130","","0.11%"
"07/15/2015","20.7600","20.6100","20.8500","20.4100","","0.48%"
"07/14/2015","20.6600","20.6020","20.9600","20.4100","","0.00%"
"07/13/2015","20.6600","20.5980","20.8600","20.4100","","0.00%"
"07/10/2015","20.6600","20.5940","20.8100","20.4100","","-0.35%"
"07/09/2015","20.7320","20.5900","20.8500","20.4100","","-0.18%"
"07/08/2015","20.7700","20.5860","20.8400","20.4100","","0.53%"
"07/07/2015","20.6600","20.5820","20.8400","20.4100","","-0.05%"
"07/06/2015","20.6700","20.5780","21.0200","20.4100","","0.05%"
"07/03/2015","20.6600","20.5740","20.8400","20.3900","","-0.05%"
"07/02/2015","20.6700","20.5879","20.9200","20.3900","","-0.34%"
"07/01/2015","20.7400","20.5660","20.8300","20.4500","","-0.07%"
"06/30/2015","20.7540","20.5620","20.8400","20.3700","","-0.10%"
"06/29/2015","20.7750","20.5580","21.2521","20.4645","","0.13%"
"06/26/2015","20.7490","20.5460","20.8300","20.3700","","0.04%"
"06/25/2015","20.7400","20.5500","20.8300","20.4485","","-0.02%"
"06/24/2015","20.7450","20.5460","20.7800","20.4100","","0.10%"
"06/23/2015","20.7245","20.5420","20.7800","20.4100","","-0.04%"
"06/22/2015","20.7318","20.5380","20.7800","20.4100","","0.01%"
"06/19/2015","20.7300","20.5340","20.8200","20.3700","","0.00%"
"06/18/2015","20.7300","20.5700","20.8200","20.3700","","0.05%"
"06/17/2015","20.7200","20.5700","20.8100","20.3500","","0.00%"
"06/16/2015","20.7200","20.5220","20.8100","20.4000","","0.31%"
"06/15/2015","20.6550","20.5170","20.8200","20.4000","","-0.41%"
"06/12/2015","20.7400","20.5130","20.8600","20.3700","","0.10%"
"06/11/2015","20.7200","20.5100","20.8100","20.4000","","0.05%"
"06/10/2015","20.7100","20.5300","20.8000","20.3500","","0.07%"
"06/09/2015","20.6950","20.5700","20.7700","20.4000","","0.07%"
"06/08/2015","20.6800","20.4980","20.6900","20.4000","","-0.48%"
"06/05/2015","20.7800","20.4940","20.8900","20.3965","","0.00%"
"06/04/2015","20.7800","20.4900","20.8440","20.4100","","0.02%"
"06/03/2015","20.7750","20.4860","20.8750","20.4000","","0.92%"
"06/02/2015","20.5850","20.4780","20.7710","20.3000","","0.02%"
"06/01/2015","20.5800","20.4780","20.7480","20.3000","","0.00%"
"05/29/2015","20.5800","20.4740","20.7280","20.3300","","0.10%"
"05/28/2015","20.5600","20.4740","20.7440","20.2900","","0.10%"
"05/27/2015","20.5400","20.4710","20.7640","20.2500","","-0.05%"
"05/26/2015","20.5500","20.4670","20.7710","20.2500","","-0.09%"
"05/25/2015","20.5690","20.4630","20.5690","20.4630","","-0.34%"
"05/22/2015","20.6400","20.4590","20.7330","20.3700","","-0.17%"
"05/21/2015","20.6750","20.4550","20.7340","20.4000","","0.00%"
"05/20/2015","20.6750","20.4510","20.7300","20.4000","","-0.12%"
"05/19/2015","20.7000","20.4470","20.7010","20.4470","","0.49%"
"05/18/2015","20.6000","20.4430","20.7170","20.3100","","0.24%"
"05/15/2015","20.5500","20.4400","20.6930","20.3000","","-0.27%"
"05/14/2015","20.6050","20.4360","20.7350","20.3100","","0.02%"
"05/13/2015","20.6000","20.4320","20.7360","20.3000","","-0.26%"
"05/12/2015","20.6532","20.4280","20.8372","20.2480","","0.21%"
"05/11/2015","20.6100","20.4240","20.6680","20.3500","","-0.05%"
"05/08/2015","20.6200","20.4200","20.7300","20.3100","","-0.10%"
"05/07/2015","20.6400","20.4160","20.6900","20.3500","","-0.02%"
"05/06/2015","20.6450","20.4120","20.6610","20.2700","","0.58%"
"05/05/2015","20.5250","20.4120","20.6870","20.2500","","0.12%"
"05/04/2015","20.5000","20.4090","20.6620","20.2500","","-0.63%"
"05/01/2015","20.6300","20.4090","20.6890","20.2500","","0.27%"
"04/30/2015","20.5750","20.4050","20.7340","20.2500","","0.24%"
"04/29/2015","20.5250","20.3100","20.7300","20.2000","","-0.12%"
"04/28/2015","20.5500","20.3970","20.6510","20.2700","","0.10%"
"04/27/2015","20.5300","20.3930","20.6770","20.2500","","-0.22%"
"04/24/2015","20.5750","20.3900","20.7180","20.2000","","0.00%"
"04/23/2015","20.5750","20.3860","20.7650","20.2000","","0.00%"
"04/22/2015","20.5750","20.3820","20.7110","20.2500","","0.12%"
"04/21/2015","20.5500","20.2000","20.6820","20.2000","","0.20%"
"04/20/2015","20.5100","20.3750","20.6380","20.2500","","0.17%"
"04/17/2015","20.4750","20.3710","20.6500","20.2000","","0.01%"
"04/16/2015","20.4725","20.3670","20.4725","20.3670","","-0.98%"
"04/15/2015","20.6750","20.3630","20.7420","20.2000","","0.12%"
"04/14/2015","20.6500","20.3600","20.7630","20.2500","","-0.15%"
"04/13/2015","20.6800","20.3550","20.7400","20.3000","","0.32%"
"04/10/2015","20.6150","20.3550","20.7400","20.2300","","0.07%"
"04/09/2015","20.6000","20.3520","20.7550","20.2000","","0.15%"
